Grand Prix,Driver,Car,Time,Year
Australia,Kimi RäikkönenRAI,Ferrari,1:25.235,2007
Malaysia,Lewis HamiltonHAM,McLaren Mercedes,1:36.701,2007
Bahrain,Felipe MassaMAS,Ferrari,1:34.067,2007
Spain,Felipe MassaMAS,Ferrari,1:22.680,2007
Monaco,Fernando AlonsoALO,McLaren Mercedes,1:15.284,2007
Canada,Fernando AlonsoALO,McLaren Mercedes,1:16.367,2007
United States,Kimi RäikkönenRAI,Ferrari,1:13.117,2007
France,Felipe MassaMAS,Ferrari,1:16.099,2007
Great Britain,Kimi RäikkönenRAI,Ferrari,1:20.638,2007
Europe,Felipe MassaMAS,Ferrari,1:32.853,2007
Hungary,Kimi RäikkönenRAI,Ferrari,1:20.047,2007
Turkey,Kimi RäikkönenRAI,Ferrari,1:27.295,2007
Italy,Fernando AlonsoALO,McLaren Mercedes,1:22.871,2007
Belgium,Felipe MassaMAS,Ferrari,1:48.036,2007
Japan,Lewis HamiltonHAM,McLaren Mercedes,1:28.193,2007
China,Felipe MassaMAS,Ferrari,1:37.454,2007
Brazil,Kimi RäikkönenRAI,Ferrari,1:12.445,2007
Australia,Heikki KovalainenKOV,McLaren Mercedes,1:27.418,2008
Malaysia,Nick HeidfeldHEI,Sauber BMW,1:35.366,2008
Bahrain,Heikki KovalainenKOV,McLaren Mercedes,1:33.193,2008
Spain,Kimi RäikkönenRAI,Ferrari,1:21.670,2008
Turkey,Kimi RäikkönenRAI,Ferrari,1:26.506,2008
Monaco,Kimi RäikkönenRAI,Ferrari,1:16.689,2008
Canada,Kimi RäikkönenRAI,Ferrari,1:17.387,2008
France,Kimi RäikkönenRAI,Ferrari,1:16.630,2008
Great Britain,Kimi RäikkönenRAI,Ferrari,1:32.150,2008
Germany,Nick HeidfeldHEI,Sauber BMW,1:15.987,2008
Hungary,Kimi RäikkönenRAI,Ferrari,1:21.195,2008
Europe,Felipe MassaMAS,Ferrari,1:38.708,2008
Belgium,Kimi RäikkönenRAI,Ferrari,1:47.930,2008
Italy,Kimi RäikkönenRAI,Ferrari,1:28.047,2008
Singapore,Kimi RäikkönenRAI,Ferrari,1:45.599,2008
Japan,Felipe MassaMAS,Ferrari,1:18.426,2008
China,Lewis HamiltonHAM,McLaren Mercedes,1:36.325,2008
Brazil,Felipe MassaMAS,Ferrari,1:13.736,2008
Australia,Nico RosbergROS,Williams Toyota,1:27.706,2009
Malaysia,Jenson ButtonBUT,Brawn Mercedes,1:36.641,2009
China,Rubens BarrichelloBAR,Brawn Mercedes,1:52.592,2009
Bahrain,Jarno TrulliTRU,Toyota,1:34.556,2009
Spain,Rubens BarrichelloBAR,Brawn Mercedes,1:22.762,2009
Monaco,Felipe MassaMAS,Ferrari,1:15.154,2009
Turkey,Jenson ButtonBUT,Brawn Mercedes,1:27.579,2009
Great Britain,Sebastian VettelVET,RBR Renault,1:20.735,2009
Germany,Fernando AlonsoALO,Renault,1:33.365,2009
Hungary,Mark WebberWEB,RBR Renault,1:21.931,2009
Europe,Timo GlockGLO,Toyota,1:38.683,2009
Belgium,Sebastian VettelVET,RBR Renault,1:47.263,2009
Italy,Adrian SutilSUT,Force India Mercedes,1:24.739,2009
Singapore,Fernando AlonsoALO,Renault,1:48.240,2009
Japan,Mark WebberWEB,RBR Renault,1:32.569,2009
Brazil,Mark WebberWEB,RBR Renault,1:13.733,2009
Abu Dhabi,Sebastian VettelVET,RBR Renault,1:40.279,2009
Bahrain,Fernando AlonsoALO,Ferrari,1:58.287,2010
Australia,Mark WebberWEB,RBR Renault,1:28.358,2010
Malaysia,Mark WebberWEB,RBR Renault,1:37.054,2010
China,Lewis HamiltonHAM,McLaren Mercedes,1:42.061,2010
Spain,Lewis HamiltonHAM,McLaren Mercedes,1:24.357,2010
Monaco,Sebastian VettelVET,RBR Renault,1:15.192,2010
Turkey,Vitaly PetrovPET,Renault,1:29.165,2010
Canada,Robert KubicaKUB,Renault,1:16.972,2010
Europe,Jenson ButtonBUT,McLaren Mercedes,1:38.766,2010
Great Britain,Fernando AlonsoALO,Ferrari,1:30.874,2010
Germany,Sebastian VettelVET,RBR Renault,1:15.824,2010
Hungary,Sebastian VettelVET,RBR Renault,1:22.362,2010
Belgium,Lewis HamiltonHAM,McLaren Mercedes,1:49.069,2010
Italy,Fernando AlonsoALO,Ferrari,1:24.139,2010
Singapore,Fernando AlonsoALO,Ferrari,1:47.976,2010
Japan,Mark WebberWEB,RBR Renault,1:33.474,2010
South Korea,Fernando AlonsoALO,Ferrari,1:50.257,2010
Brazil,Lewis HamiltonHAM,McLaren Mercedes,1:13.851,2010
Abu Dhabi,Lewis HamiltonHAM,McLaren Mercedes,1:41.274,2010
Australia,Felipe MassaMAS,Ferrari,1:28.947,2011
Malaysia,Mark WebberWEB,Red Bull Racing Renault,1:40.571,2011
China,Mark WebberWEB,Red Bull Racing Renault,1:38.993,2011
Turkey,Mark WebberWEB,Red Bull Racing Renault,1:29.703,2011
Spain,Lewis HamiltonHAM,McLaren Mercedes,1:26.727,2011
Monaco,Mark WebberWEB,Red Bull Racing Renault,1:16.234,2011
Canada,Jenson ButtonBUT,McLaren Mercedes,1:16.956,2011
Europe,Sebastian VettelVET,Red Bull Racing Renault,1:41.852,2011
Great Britain,Fernando AlonsoALO,Ferrari,1:34.908,2011
Germany,Lewis HamiltonHAM,McLaren Mercedes,1:34.302,2011
Hungary,Felipe MassaMAS,Ferrari,1:23.415,2011
Belgium,Mark WebberWEB,Red Bull Racing Renault,1:49.883,2011
Italy,Lewis HamiltonHAM,McLaren Mercedes,1:26.187,2011
Singapore,Jenson ButtonBUT,McLaren Mercedes,1:48.454,2011
Japan,Jenson ButtonBUT,McLaren Mercedes,1:36.568,2011
South Korea,Sebastian VettelVET,Red Bull Racing Renault,1:39.605,2011
India,Sebastian VettelVET,Red Bull Racing Renault,1:27.249,2011
Abu Dhabi,Mark WebberWEB,Red Bull Racing Renault,1:42.612,2011
Brazil,Mark WebberWEB,Red Bull Racing Renault,1:15.324,2011
Australia,Jenson ButtonBUT,McLaren Mercedes,1:29.187,2012
Malaysia,Kimi RäikkönenRAI,Lotus Renault,1:40.722,2012
China,Kamui KobayashiKOB,Sauber Ferrari,1:39.960,2012
Bahrain,Sebastian VettelVET,Red Bull Racing Renault,1:36.379,2012
Spain,Romain GrosjeanGRO,Lotus Renault,1:26.250,2012
Monaco,Sergio PerezPER,Sauber Ferrari,1:17.296,2012
Canada,Sebastian VettelVET,Red Bull Racing Renault,1:15.752,2012
Europe,Nico RosbergROS,Mercedes,1:42.163,2012
Great Britain,Kimi RäikkönenRAI,Lotus Renault,1:34.661,2012
Germany,Michael SchumacherMSC,Mercedes,1:18.725,2012
Hungary,Sebastian VettelVET,Red Bull Racing Renault,1:24.136,2012
Belgium,Bruno SennaSEN,Williams Renault,1:52.822,2012
Italy,Nico RosbergROS,Mercedes,1:27.239,2012
Singapore,Nico HulkenbergHUL,Force India Mercedes,1:51.033,2012
Japan,Sebastian VettelVET,Red Bull Racing Renault,1:35.774,2012
South Korea,Mark WebberWEB,Red Bull Racing Renault,1:42.037,2012
India,Jenson ButtonBUT,McLaren Mercedes,1:28.203,2012
Abu Dhabi,Sebastian VettelVET,Red Bull Racing Renault,1:43.964,2012
United States,Sebastian VettelVET,Red Bull Racing Renault,1:39.347,2012
Brazil,Lewis HamiltonHAM,McLaren Mercedes,1:18.069,2012
Australia,Kimi RäikkönenRAI,Lotus Renault,1:29.274,2013
Malaysia,Sergio PerezPER,McLaren Mercedes,1:39.199,2013
China,Sebastian VettelVET,Red Bull Racing Renault,1:36.808,2013
Bahrain,Sebastian VettelVET,Red Bull Racing Renault,1:36.961,2013
Spain,Esteban Gutierrez GUT,Sauber Ferrari,1:26.217,2013
Monaco,Sebastian VettelVET,Red Bull Racing Renault,1:16.577,2013
Canada,Mark WebberWEB,Red Bull Racing Renault,1:16.182,2013
Great Britain,Mark WebberWEB,Red Bull Racing Renault,1:33.401,2013
Germany,Fernando AlonsoALO,Ferrari,1:33.468,2013
Hungary,Mark WebberWEB,Red Bull Racing Renault,1:24.069,2013
Belgium,Sebastian VettelVET,Red Bull Racing Renault,1:50.756,2013
Italy,Lewis HamiltonHAM,Mercedes,1:25.849,2013
Singapore,Sebastian VettelVET,Red Bull Racing Renault,1:48.574,2013
South Korea,Sebastian VettelVET,Red Bull Racing Renault,1:41.380,2013
Japan,Mark WebberWEB,Red Bull Racing Renault,1:34.587,2013
India,Kimi RäikkönenRAI,Lotus Renault,1:27.679,2013
Abu Dhabi,Fernando AlonsoALO,Ferrari,1:43.434,2013
United States,Sebastian VettelVET,Red Bull Racing Renault,1:39.856,2013
Brazil,Mark WebberWEB,Red Bull Racing Renault,1:15.436,2013
Australia,Nico RosbergROS,Mercedes,1:32.478,2014
Malaysia,Lewis HamiltonHAM,Mercedes,1:43.066,2014
Bahrain,Nico RosbergROS,Mercedes,1:37.020,2014
China,Nico RosbergROS,Mercedes,1:40.402,2014
Spain,Sebastian VettelVET,Red Bull Racing Renault,1:28.918,2014
Monaco,Kimi RäikkönenRAI,Ferrari,1:18.479,2014
Canada,Felipe MassaMAS,Williams Mercedes,1:18.504,2014
Austria,Sergio PerezPER,Force India Mercedes,1:12.142,2014
Great Britain,Lewis HamiltonHAM,Mercedes,1:37.176,2014
Germany,Lewis HamiltonHAM,Mercedes,1:19.908,2014
Hungary,Nico RosbergROS,Mercedes,1:25.724,2014
Belgium,Nico RosbergROS,Mercedes,1:50.511,2014
Italy,Lewis HamiltonHAM,Mercedes,1:28.004,2014
Singapore,Lewis HamiltonHAM,Mercedes,1:50.417,2014
Japan,Lewis HamiltonHAM,Mercedes,1:51.600,2014
Russia,Valtteri BottasBOT,Williams Mercedes,1:40.896,2014
United States,Sebastian VettelVET,Red Bull Racing Renault,1:41.379,2014
Brazil,Lewis HamiltonHAM,Mercedes,1:13.555,2014
Abu Dhabi,Daniel RicciardoRIC,Red Bull Racing Renault,1:44.496,2014
Australia,Lewis HamiltonHAM,Mercedes,1:30.945,2015
Malaysia,Nico RosbergROS,Mercedes,1:42.062,2015
China,Lewis HamiltonHAM,Mercedes,1:42.208,2015
Bahrain,Kimi RäikkönenRAI,Ferrari,1:36.311,2015
Spain,Lewis HamiltonHAM,Mercedes,1:28.270,2015
Monaco,Daniel RicciardoRIC,Red Bull Racing Renault,1:18.063,2015
Canada,Kimi RäikkönenRAI,Ferrari,1:16.987,2015
Austria,Nico RosbergROS,Mercedes,1:11.235,2015
Great Britain,Lewis HamiltonHAM,Mercedes,1:37.093,2015
Hungary,Daniel RicciardoRIC,Red Bull Racing Renault,1:24.821,2015
Belgium,Nico RosbergROS,Mercedes,1:52.416,2015
Italy,Lewis HamiltonHAM,Mercedes,1:26.672,2015
Singapore,Daniel RicciardoRIC,Red Bull Racing Renault,1:50.041,2015
Japan,Lewis HamiltonHAM,Mercedes,1:36.145,2015
Russia,Sebastian VettelVET,Ferrari,1:40.071,2015
United States,Nico RosbergROS,Mercedes,1:40.666,2015
Mexico,Nico RosbergROS,Mercedes,1:20.521,2015
Brazil,Lewis HamiltonHAM,Mercedes,1:14.832,2015
Abu Dhabi,Lewis HamiltonHAM,Mercedes,1:44.517,2015
Australia,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:28.997,2016
Bahrain,Nico RosbergROS,Mercedes,1:34.482,2016
China,Nico HulkenbergHUL,Force India Mercedes,1:39.824,2016
Russia,Nico RosbergROS,Mercedes,1:39.094,2016
Spain,Daniil KvyatKVY,Toro Rosso Ferrari,1:26.948,2016
Monaco,Lewis HamiltonHAM,Mercedes,1:17.939,2016
Canada,Nico RosbergROS,Mercedes,1:15.599,2016
Europe,Nico RosbergROS,Mercedes,1:46.485,2016
Austria,Lewis HamiltonHAM,Mercedes,1:08.411,2016
Great Britain,Nico RosbergROS,Mercedes,1:35.548,2016
Hungary,Kimi RäikkönenRAI,Ferrari,1:23.086,2016
Germany,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:18.442,2016
Belgium,Lewis HamiltonHAM,Mercedes,1:51.583,2016
Italy,Fernando AlonsoALO,McLaren Honda,1:25.340,2016
Singapore,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:47.187,2016
Malaysia,Nico RosbergROS,Mercedes,1:36.424,2016
Japan,Sebastian VettelVET,Ferrari,1:35.118,2016
United States,Sebastian VettelVET,Ferrari,1:39.877,2016
Mexico,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:21.134,2016
Brazil,Max VerstappenVER,Red Bull Racing TAG Heuer,1:25.305,2016
Abu Dhabi,Sebastian VettelVET,Ferrari,1:43.729,2016
Australia,Kimi RäikkönenRAI,Ferrari,1:26.538,2017
China,Lewis HamiltonHAM,Mercedes,1:35.378,2017
Bahrain,Lewis HamiltonHAM,Mercedes,1:32.798,2017
Russia,Kimi RäikkönenRAI,Ferrari,1:36.844,2017
Spain,Lewis HamiltonHAM,Mercedes,1:23.593,2017
Monaco,Sergio PerezPER,Force India Mercedes,1:14.820,2017
Canada,Lewis HamiltonHAM,Mercedes,1:14.551,2017
Azerbaijan,Sebastian VettelVET,Ferrari,1:43.441,2017
Austria,Lewis HamiltonHAM,Mercedes,1:07.411,2017
Great Britain,Lewis HamiltonHAM,Mercedes,1:30.621,2017
Hungary,Fernando AlonsoALO,McLaren Honda,1:20.182,2017
Belgium,Sebastian VettelVET,Ferrari,1:46.577,2017
Italy,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:23.361,2017
Singapore,Lewis HamiltonHAM,Mercedes,1:45.008,2017
Malaysia,Sebastian VettelVET,Ferrari,1:34.080,2017
Japan,Valtteri BottasBOT,Mercedes,1:33.144,2017
United States,Sebastian VettelVET,Ferrari,1:37.766,2017
Mexico,Sebastian VettelVET,Ferrari,1:18.785,2017
Brazil,Max VerstappenVER,Red Bull Racing TAG Heuer,1:11.044,2017
Abu Dhabi,Valtteri BottasBOT,Mercedes,1:40.650,2017
Australia,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:25.945,2018
Bahrain,Valtteri BottasBOT,Mercedes,1:33.740,2018
China,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:35.785,2018
Azerbaijan,Valtteri BottasBOT,Mercedes,1:45.149,2018
Spain,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:18.441,2018
Monaco,Max VerstappenVER,Red Bull Racing TAG Heuer,1:14.260,2018
Canada,Max VerstappenVER,Red Bull Racing TAG Heuer,1:13.864,2018
France,Valtteri BottasBOT,Mercedes,1:34.225,2018
Austria,Kimi RäikkönenRAI,Ferrari,1:06.957,2018
Great Britain,Sebastian VettelVET,Ferrari,1:30.696,2018
Germany,Lewis HamiltonHAM,Mercedes,1:15.545,2018
Hungary,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:20.012,2018
Belgium,Valtteri BottasBOT,Mercedes,1:46.286,2018
Italy,Lewis HamiltonHAM,Mercedes,1:22.497,2018
Singapore,Kevin MagnussenMAG,Haas Ferrari,1:41.905,2018
Russia,Valtteri BottasBOT,Mercedes,1:35.861,2018
Japan,Sebastian VettelVET,Ferrari,1:32.318,2018
United States,Lewis HamiltonHAM,Mercedes,1:37.392,2018
Mexico,Valtteri BottasBOT,Mercedes,1:18.741,2018
Brazil,Valtteri BottasBOT,Mercedes,1:10.540,2018
Abu Dhabi,Sebastian VettelVET,Ferrari,1:40.867,2018
Australia,Valtteri BottasBOT,Mercedes,1:25.580,2019
Bahrain,Charles LeclercLEC,Ferrari,1:33.411,2019
China,Pierre GaslyGAS,Red Bull Racing Honda,1:34.742,2019
Azerbaijan,Charles LeclercLEC,Ferrari,1:43.009,2019
Spain,Lewis HamiltonHAM,Mercedes,1:18.492,2019
Monaco,Pierre GaslyGAS,Red Bull Racing Honda,1:14.279,2019
Canada,Valtteri BottasBOT,Mercedes,1:13.078,2019
France,Sebastian VettelVET,Ferrari,1:32.740,2019
Austria,Max VerstappenVER,Red Bull Racing Honda,1:07.475,2019
Great Britain,Lewis HamiltonHAM,Mercedes,1:27.369,2019
Germany,Max VerstappenVER,Red Bull Racing Honda,1:16.645,2019
Hungary,Max VerstappenVER,Red Bull Racing Honda,1:17.103,2019
Belgium,Sebastian VettelVET,Ferrari,1:46.409,2019
Italy,Lewis HamiltonHAM,Mercedes,1:21.779,2019
Singapore,Kevin MagnussenMAG,Haas Ferrari,1:42.301,2019
Russia,Lewis HamiltonHAM,Mercedes,1:35.761,2019
Japan,Lewis HamiltonHAM,Mercedes,1:30.983,2019
Mexico,Charles LeclercLEC,Ferrari,1:19.232,2019
United States,Charles LeclercLEC,Ferrari,1:36.169,2019
Brazil,Valtteri BottasBOT,Mercedes,1:10.698,2019
Abu Dhabi,Lewis HamiltonHAM,Mercedes,1:39.283,2019
Austria,Lando NorrisNOR,McLaren Renault,1:07.475,2020
Styria,Carlos SainzSAI,McLaren Renault,1:05.619,2020
Hungary,Lewis HamiltonHAM,Mercedes,1:16.627,2020
Great Britain,Max VerstappenVER,Red Bull Racing Honda,1:27.097,2020
70th Anniversary,Lewis HamiltonHAM,Mercedes,1:28.451,2020
Spain,Valtteri BottasBOT,Mercedes,1:18.183,2020
Belgium,Daniel RicciardoRIC,Renault,1:47.483,2020
Italy,Lewis HamiltonHAM,Mercedes,1:22.746,2020
Tuscany,Lewis HamiltonHAM,Mercedes,1:18.833,2020
Russia,Valtteri BottasBOT,Mercedes,1:37.030,2020
Eifel,Max VerstappenVER,Red Bull Racing Honda,1:28.139,2020
Portugal,Lewis HamiltonHAM,Mercedes,1:18.750,2020
Emilia-Romagna,Lewis HamiltonHAM,Mercedes,1:15.484,2020
Turkey,Lando NorrisNOR,McLaren Renault,1:36.806,2020
Bahrain,Max VerstappenVER,Red Bull Racing Honda,1:32.014,2020
Sakhir,George RussellRUS,Mercedes,55.404,2020
Abu Dhabi,Daniel RicciardoRIC,Renault,1:40.926,2020
Bahrain,Valtteri BottasBOT,Mercedes,1:32.090,2021
Emilia-Romagna,Lewis HamiltonHAM,Mercedes,1:16.702,2021
Portugal,Valtteri BottasBOT,Mercedes,1:19.865,2021
Spain,Max VerstappenVER,Red Bull Racing Honda,1:18.149,2021
Monaco,Lewis HamiltonHAM,Mercedes,1:12.909,2021
Azerbaijan,Max VerstappenVER,Red Bull Racing Honda,1:44.481,2021
France,Max VerstappenVER,Red Bull Racing Honda,1:36.404,2021
Styria,Lewis HamiltonHAM,Mercedes,1:07.058,2021
Austria,Max VerstappenVER,Red Bull Racing Honda,1:06.200,2021
Great Britain,Sergio PerezPER,Red Bull Racing Honda,1:28.617,2021
Hungary,Pierre GaslyGAS,AlphaTauri Honda,1:18.394,2021
Netherlands,Lewis HamiltonHAM,Mercedes,1:11.097,2021
Italy,Daniel RicciardoRIC,McLaren Mercedes,1:24.812,2021
Russia,Lando NorrisNOR,McLaren Mercedes,1:37.423,2021
Turkey,Valtteri BottasBOT,Mercedes,1:30.432,2021
United States,Lewis HamiltonHAM,Mercedes,1:38.485,2021
Mexico,Valtteri BottasBOT,Mercedes,1:17.774,2021
Brazil,Sergio PerezPER,Red Bull Racing Honda,1:11.010,2021
Qatar,Max VerstappenVER,Red Bull Racing Honda,1:23.196,2021
Saudi Arabia,Lewis HamiltonHAM,Mercedes,1:30.734,2021
Abu Dhabi,Max VerstappenVER,Red Bull Racing Honda,1:26.103,2021
Bahrain,Charles LeclercLEC,Ferrari,1:34.570,2022
Saudi Arabia,Charles LeclercLEC,Ferrari,1:31.634,2022
Australia,Charles LeclercLEC,Ferrari,1:20.260,2022
Emilia-Romagna,Max VerstappenVER,Red Bull Racing RBPT,1:18.446,2022
Miami,Max VerstappenVER,Red Bull Racing RBPT,1:31.361,2022
Spain,Sergio PerezPER,Red Bull Racing RBPT,1:24.108,2022
Monaco,Lando NorrisNOR,McLaren Mercedes,1:14.693,2022
Azerbaijan,Sergio PerezPER,Red Bull Racing RBPT,1:46.046,2022
Canada,Carlos SainzSAI,Ferrari,1:15.749,2022
Great Britain,Lewis HamiltonHAM,Mercedes,1:30.510,2022
Austria,Max VerstappenVER,Red Bull Racing RBPT,1:07.275,2022
France,Carlos SainzSAI,Ferrari,1:35.781,2022
Hungary,Lewis HamiltonHAM,Mercedes,1:21.386,2022
Belgium,Max VerstappenVER,Red Bull Racing RBPT,1:49.354,2022
Netherlands,Max VerstappenVER,Red Bull Racing RBPT,1:13.652,2022
Italy,Sergio PerezPER,Red Bull Racing RBPT,1:24.030,2022
Singapore,George RussellRUS,Mercedes,1:46.458,2022
Japan,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:44.411,2022
United States,George RussellRUS,Mercedes,1:38.788,2022
Mexico,George RussellRUS,Mercedes,1:20.153,2022
Brazil,George RussellRUS,Mercedes,1:13.785,2022
Abu Dhabi,Lando NorrisNOR,McLaren Mercedes,1:28.391,2022
Bahrain,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:33.996,2023
Saudi Arabia,Max VerstappenVER,Red Bull Racing Honda RBPT,1:31.906,2023
Australia,Sergio PerezPER,Red Bull Racing Honda RBPT,1:20.235,2023
Azerbaijan,George RussellRUS,Mercedes,1:43.370,2023
Miami,Max VerstappenVER,Red Bull Racing Honda RBPT,1:29.708,2023
Spain,Max VerstappenVER,Red Bull Racing Honda RBPT,1:16.330,2023
Canada,Sergio PerezPER,Red Bull Racing Honda RBPT,1:14.481,2023
Austria,Max VerstappenVER,Red Bull Racing Honda RBPT,1:07.012,2023
Great Britain,Max VerstappenVER,Red Bull Racing Honda RBPT,1:30.275,2023
Hungary,Max VerstappenVER,Red Bull Racing Honda RBPT,1:20.504,2023
Belgium,Lewis HamiltonHAM,Mercedes,1:47.305,2023
Italy,Oscar PiastriPIA,McLaren Mercedes,1:25.072,2023
Singapore,Lewis HamiltonHAM,Mercedes,1:35.867,2023
Japan,Max VerstappenVER,Red Bull Racing Honda RBPT,1:34.183,2023
Qatar,Max VerstappenVER,Red Bull Racing Honda RBPT,1:24.319,2023
United States,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:38.139,2023
Mexico,Lewis HamiltonHAM,Mercedes,1:21.334,2023
Brazil,Lando NorrisNOR,McLaren Mercedes,1:12.486,2023
Las Vegas,Oscar PiastriPIA,McLaren Mercedes,1:35.490,2023
Abu Dhabi,Max VerstappenVER,Red Bull Racing Honda RBPT,1:26.993,2023
Bahrain,Max VerstappenVER,Red Bull Racing Honda RBPT,1:32.608,2024
Saudi Arabia,Charles LeclercLEC,Ferrari,1:31.632,2024
Australia,Charles LeclercLEC,Ferrari,1:19.813,2024
Japan,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.706,2024
China,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:37.810,2024
Miami,Oscar PiastriPIA,McLaren Mercedes,1:30.634,2024
Emilia-Romagna,George RussellRUS,Mercedes,1:18.589,2024
Monaco,Lewis HamiltonHAM,Mercedes,1:14.165,2024
Canada,Lewis HamiltonHAM,Mercedes,1:14.856,2024
Spain,Lando NorrisNOR,McLaren Mercedes,1:17.115,2024
Austria,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:07.694,2024
Great Britain,Carlos SainzSAI,Ferrari,1:28.293,2024
Hungary,George RussellRUS,Mercedes,1:20.305,2024
Belgium,Sergio PerezPER,Red Bull Racing Honda RBPT,1:44.701,2024
Netherlands,Lando NorrisNOR,McLaren Mercedes,1:13.817,2024
Italy,Lando NorrisNOR,McLaren Mercedes,1:21.432,2024
Azerbaijan,Lando NorrisNOR,McLaren Mercedes,1:45.255,2024
Singapore,Daniel RicciardoRIC,RB Honda RBPT,1:34.486,2024
United States,Esteban OconOCO,Alpine Renault,1:37.330,2024
Mexico,Charles LeclercLEC,Ferrari,1:18.336,2024
Brazil,Max VerstappenVER,Red Bull Racing Honda RBPT,1:20.472,2024
Las Vegas,Lando NorrisNOR,McLaren Mercedes,1:34.876,2024
Qatar,Lando NorrisNOR,McLaren Mercedes,1:22.384,2024
Abu Dhabi,Kevin MagnussenMAG,Haas Ferrari,1:25.637,2024
