Grand Prix,Driver,Car,Time,Year
Belgium,Gerhard BergerBER,Ferrari,2:00.772,1988
Italy,Michele AlboretoALB,Ferrari,1:29.070,1988
Portugal,Gerhard BergerBER,Ferrari,1:21.961,1988
Spain,Alain ProstPRO,McLaren Honda,1:27.845,1988
Japan,Ayrton SennaSEN,McLaren Honda,1:46.326,1988
Australia,Alain ProstPRO,McLaren Honda,1:21.216,1988
Brazil,Riccardo PatresePAT,Williams Renault,1:32.507,1989
San Marino,Alain ProstPRO,McLaren Honda,1:26.795,1989
Monaco,Alain ProstPRO,McLaren Honda,1:25.501,1989
Mexico,Nigel MansellMAN,Ferrari,1:20.420,1989
United States,Ayrton SennaSEN,McLaren Honda,1:33.969,1989
Canada,Jonathan PalmerPAL,Tyrrell Ford,1:31.925,1989
France,Mauricio GugelminGUG,March Judd,1:12.090,1989
Great Britain,Nigel MansellMAN,Ferrari,1:12.017,1989
Germany,Ayrton SennaSEN,McLaren Honda,1:45.884,1989
Hungary,Nigel MansellMAN,Ferrari,1:22.637,1989
Belgium,Alain ProstPRO,McLaren Honda,2:11.571,1989
Italy,Alain ProstPRO,McLaren Honda,1:28.107,1989
Portugal,Gerhard BergerBER,Ferrari,1:18.986,1989
Spain,Ayrton SennaSEN,McLaren Honda,1:25.779,1989
Japan,Alain ProstPRO,McLaren Honda,1:43.506,1989
Australia,Satoru NakajimaNAK,Lotus Judd,1:38.480,1989
United States,Gerhard BergerBER,McLaren Honda,1:31.050,1990
Brazil,Gerhard BergerBER,McLaren Honda,1:19.899,1990
San Marino,Alessandro NanniniNAN,Benetton Ford,1:27.156,1990
Monaco,Ayrton SennaSEN,McLaren Honda,1:24.468,1990
Canada,Gerhard BergerBER,McLaren Honda,1:22.077,1990
Mexico,Alain ProstPRO,Ferrari,1:17.958,1990
France,Nigel MansellMAN,Ferrari,1:08.012,1990
Great Britain,Nigel MansellMAN,Ferrari,1:11.291,1990
Germany,Thierry BoutsenBOU,Williams Renault,1:45.602,1990
Hungary,Riccardo PatresePAT,Williams Renault,1:22.058,1990
Belgium,Alain ProstPRO,Ferrari,1:55.087,1990
Italy,Ayrton SennaSEN,McLaren Honda,1:26.254,1990
Portugal,Riccardo PatresePAT,Williams Renault,1:18.306,1990
Spain,Riccardo PatresePAT,Williams Renault,1:24.513,1990
Japan,Riccardo PatresePAT,Williams Renault,1:44.233,1990
Australia,Nigel MansellMAN,Ferrari,1:18.203,1990
United States,Jean AlesiALE,Ferrari,1:26.758,1991
Brazil,Nigel MansellMAN,Williams Renault,1:20.436,1991
San Marino,Gerhard BergerBER,McLaren Honda,1:26.531,1991
Monaco,Alain ProstPRO,Ferrari,1:24.368,1991
Canada,Nigel MansellMAN,Williams Renault,1:22.385,1991
Mexico,Nigel MansellMAN,Williams Renault,1:16.788,1991
France,Nigel MansellMAN,Williams Renault,1:19.168,1991
Great Britain,Nigel MansellMAN,Williams Renault,1:26.379,1991
Germany,Riccardo PatresePAT,Williams Renault,1:43.569,1991
Hungary,Bertrand GachotGAC,Jordan Ford,1:21.547,1991
Belgium,Roberto MorenoMOR,Benetton Ford,1:55.161,1991
Italy,Ayrton SennaSEN,McLaren Honda,1:26.061,1991
Portugal,Nigel MansellMAN,Williams Renault,1:18.179,1991
Spain,Riccardo PatresePAT,Williams Renault,1:22.837,1991
Japan,Ayrton SennaSEN,McLaren Honda,1:41.532,1991
Australia,Gerhard BergerBER,McLaren Honda,1:41.141,1991
South Africa,Nigel MansellMAN,Williams Renault,1:17.578,1992
Mexico,Gerhard BergerBER,McLaren Honda,1:17.711,1992
Brazil,Riccardo PatresePAT,Williams Renault,1:19.490,1992
Spain,Nigel MansellMAN,Williams Renault,1:42.503,1992
San Marino,Riccardo PatresePAT,Williams Renault,1:26.100,1992
Monaco,Nigel MansellMAN,Williams Renault,1:21.598,1992
Canada,Gerhard BergerBER,McLaren Honda,1:22.325,1992
France,Nigel MansellMAN,Williams Renault,1:17.070,1992
Great Britain,Nigel MansellMAN,Williams Renault,1:22.539,1992
Germany,Riccardo PatresePAT,Williams Renault,1:41.591,1992
Hungary,Nigel MansellMAN,Williams Renault,1:18.308,1992
Belgium,Michael SchumacherMSC,Benetton Ford,1:53.791,1992
Italy,Nigel MansellMAN,Williams Renault,1:26.119,1992
Portugal,Ayrton SennaSEN,McLaren Honda,1:16.272,1992
Japan,Nigel MansellMAN,Williams Renault,1:40.646,1992
Australia,Michael SchumacherMSC,Benetton Ford,1:16.078,1992
South Africa,Alain ProstPRO,Williams Renault,1:19.492,1993
Brazil,Michael SchumacherMSC,Benetton Ford,1:20.024,1993
Europe,Ayrton SennaSEN,McLaren Ford,1:18.029,1993
San Marino,Alain ProstPRO,Williams Renault,1:26.128,1993
Spain,Michael SchumacherMSC,Benetton Ford,1:20.989,1993
Monaco,Alain ProstPRO,Williams Renault,1:23.604,1993
Canada,Michael SchumacherMSC,Benetton Ford,1:21.500,1993
France,Michael SchumacherMSC,Benetton Ford,1:19.256,1993
Great Britain,Damon HillHIL,Williams Renault,1:22.515,1993
Germany,Michael SchumacherMSC,Benetton Ford,1:41.859,1993
Hungary,Alain ProstPRO,Williams Renault,1:19.633,1993
Belgium,Alain ProstPRO,Williams Renault,1:51.095,1993
Italy,Damon HillHIL,Williams Renault,1:23.575,1993
Portugal,Damon HillHIL,Williams Renault,1:14.859,1993
Japan,Alain ProstPRO,Williams Renault,1:41.176,1993
Australia,Damon HillHIL,Williams Renault,1:15.381,1993
Brazil,Michael SchumacherMSC,Benetton Ford,1:18.455,1994
Pacific,Michael SchumacherMSC,Benetton Ford,1:14.023,1994
San Marino,Damon HillHIL,Williams Renault,1:24.335,1994
San Marino,Ayrton SennaSEN,Williams Renault,1:44.068,1994
San Marino,Damon HillHIL,Williams Renault,1:24.335,1994
Monaco,Michael SchumacherMSC,Benetton Ford,1:21.076,1994
Spain,Michael SchumacherMSC,Benetton Ford,1:25.155,1994
Canada,Michael SchumacherMSC,Benetton Ford,1:28.927,1994
France,Damon HillHIL,Williams Renault,1:19.678,1994
Great Britain,Damon HillHIL,Williams Renault,1:27.100,1994
Germany,David CoulthardCOU,Williams Renault,1:46.211,1994
Hungary,Michael SchumacherMSC,Benetton Ford,1:20.881,1994
Belgium,Damon HillHIL,Williams Renault,1:57.117,1994
Italy,Damon HillHIL,Williams Renault,1:25.930,1994
Portugal,David CoulthardCOU,Williams Renault,1:22.446,1994
Europe,Michael SchumacherMSC,Benetton Ford,1:25.040,1994
Japan,Damon HillHIL,Williams Renault,1:56.597,1994
Australia,Michael SchumacherMSC,Benetton Ford,1:17.140,1994
Brazil,Michael SchumacherMSC,Benetton Renault,1:20.921,1995
Argentina,Michael SchumacherMSC,Benetton Renault,1:30.522,1995
San Marino,Gerhard BergerBER,Ferrari,1:29.568,1995
Spain,Damon HillHIL,Williams Renault,1:24.531,1995
Monaco,Jean AlesiALE,Ferrari,1:24.621,1995
Canada,Michael SchumacherMSC,Benetton Renault,1:29.174,1995
France,Michael SchumacherMSC,Benetton Renault,1:20.218,1995
Great Britain,Damon HillHIL,Williams Renault,1:29.752,1995
Germany,Michael SchumacherMSC,Benetton Renault,1:48.824,1995
Hungary,Damon HillHIL,Williams Renault,1:20.247,1995
Belgium,David CoulthardCOU,Williams Renault,1:53.412,1995
Italy,Gerhard BergerBER,Ferrari,1:26.419,1995
Portugal,David CoulthardCOU,Williams Renault,1:23.220,1995
Europe,Michael SchumacherMSC,Benetton Renault,1:21.180,1995
Pacific,Michael SchumacherMSC,Benetton Renault,1:16.374,1995
Japan,Michael SchumacherMSC,Benetton Renault,1:42.976,1995
Australia,Damon HillHIL,Williams Renault,1:17.943,1995
Australia,Jacques VilleneuveVIL,Williams Renault,1:33.421,1996
Brazil,Damon HillHIL,Williams Renault,1:21.547,1996
Argentina,Jean AlesiALE,Benetton Renault,1:29.413,1996
Europe,Damon HillHIL,Williams Renault,1:21.363,1996
San Marino,Damon HillHIL,Williams Renault,1:28.931,1996
Monaco,Jean AlesiALE,Benetton Renault,1:25.205,1996
